Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19755.47,-44.53,-0.225,19792.75,19796.65,19728.16,1978049,Bearish,Realistic Demo Data,2025-11-03 23:20:54
SENSEX,66641.21,141.21,0.212,66647.44,66654.21,66554.69,2903116,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY BANK,45342.6,142.6,0.315,45118.69,45349.48,45090.85,2800924,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY IT,29589.16,89.16,0.302,29587.07,29607.56,29557.1,2796619,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY PHARMA,13711.39,-88.61,-0.642,13792.05,13827.36,13705.05,1438363,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY AUTO,16128.73,-71.27,-0.44,16236.81,16261.48,16103.09,2457126,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY METAL,7140.64,40.64,0.572,7110.86,7161.81,7091.94,1101817,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY REALTY,444.07,-5.93,-1.317,454.8,456.04,441.46,1895354,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY FMCG,53217.75,217.75,0.411,53060.2,53279.92,53006.84,1908039,Bearish,Realistic Demo Data,2025-11-03 23:20:54
NIFTY PSU BANK,3795.63,-4.37,-0.115,3813.75,3818.67,3784.17,1637120,Bearish,Realistic Demo Data,2025-11-03 23:20:54
