Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19840.5,40.5,0.205,19789.72,19873.1,19788.21,1198252,Neutral,Realistic Demo Data,2025-11-03 23:29:14
SENSEX,66849.2,349.2,0.525,66691.05,66917.73,66592.23,1748541,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY BANK,45332.84,132.84,0.294,45196.22,45390.65,45136.3,1297889,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY IT,29540.13,40.13,0.136,29560.31,29574.54,29526.59,783546,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY PHARMA,13946.35,146.35,1.061,13804.53,13964.32,13800.28,2720243,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY AUTO,16181.37,-18.63,-0.115,16248.08,16248.53,16168.21,806650,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY METAL,7173.41,73.41,1.034,7061.93,7184.81,7051.09,1561643,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY REALTY,461.39,11.39,2.531,454.93,464.93,451.34,2581996,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY FMCG,52826.43,-173.57,-0.327,53021.63,53038.73,52762.08,1466878,Neutral,Realistic Demo Data,2025-11-03 23:29:14
NIFTY PSU BANK,3771.22,-28.78,-0.757,3780.5,3786.34,3770.65,670488,Neutral,Realistic Demo Data,2025-11-03 23:29:14
