Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19752.0,-48.0,-0.242,19744.48,19761.98,19740.7,2926692,Neutral,Realistic Demo Data,2025-11-03 23:28:08
SENSEX,66125.9,-374.1,-0.563,66479.0,66565.32,66090.95,2918989,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY BANK,45123.9,-76.1,-0.168,45326.41,45389.76,45056.08,1175377,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY IT,29567.56,67.56,0.229,29571.05,29598.16,29540.49,1206873,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY PHARMA,13826.57,26.57,0.193,13809.42,13844.63,13778.19,2891631,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY AUTO,16101.89,-98.11,-0.606,16147.4,16159.21,16077.85,1933958,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY METAL,7084.8,-15.2,-0.214,7082.46,7104.18,7081.87,1822665,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY REALTY,442.75,-7.25,-1.612,442.35,446.71,440.45,2077364,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY FMCG,53249.72,249.72,0.471,53086.35,53322.89,53033.48,1074644,Neutral,Realistic Demo Data,2025-11-03 23:28:08
NIFTY PSU BANK,3794.61,-5.39,-0.142,3789.81,3803.11,3789.39,1149875,Neutral,Realistic Demo Data,2025-11-03 23:28:08
