Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19899.47,99.47,0.502,19782.28,19922.13,19756.79,1121355,Bullish,Realistic Demo Data,2025-11-03 23:29:40
SENSEX,66960.29,460.29,0.692,66501.39,67018.44,66419.29,965099,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY BANK,45313.19,113.19,0.25,45072.31,45366.73,45062.46,2567260,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY IT,29539.04,39.04,0.132,29429.53,29570.22,29412.41,2535581,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY PHARMA,13915.04,115.04,0.834,13836.14,13918.16,13814.87,892811,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY AUTO,16242.08,42.08,0.26,16245.48,16254.57,16212.95,1898844,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY METAL,7192.43,92.43,1.302,7109.14,7207.69,7089.21,678998,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY REALTY,436.71,-13.29,-2.954,443.32,444.76,434.53,986461,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY FMCG,53257.57,257.57,0.486,52890.77,53314.4,52852.12,565802,Bullish,Realistic Demo Data,2025-11-03 23:29:40
NIFTY PSU BANK,3843.43,43.43,1.143,3783.71,3850.92,3775.39,1598783,Bullish,Realistic Demo Data,2025-11-03 23:29:40
