Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19915.81,115.81,0.585,19775.84,19929.65,19764.9,1307124,Bearish,Realistic Demo Data,2025-11-03 23:27:05
SENSEX,66518.69,18.69,0.028,66541.56,66612.57,66494.22,1395198,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY BANK,44966.75,-233.25,-0.516,45115.2,45144.57,44903.68,2503997,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY IT,29505.87,5.87,0.02,29508.4,29529.62,29467.19,2199364,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY PHARMA,13782.13,-17.87,-0.13,13843.37,13867.98,13751.89,2096336,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY AUTO,16267.19,67.19,0.415,16198.78,16283.04,16177.51,1315158,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY METAL,7026.5,-73.5,-1.035,7058.8,7080.35,7010.19,1460124,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY REALTY,456.14,6.14,1.365,452.82,457.22,452.61,2664457,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY FMCG,53180.21,180.21,0.34,53117.55,53231.56,53108.25,2543344,Bearish,Realistic Demo Data,2025-11-03 23:27:05
NIFTY PSU BANK,3778.61,-21.39,-0.563,3782.53,3794.33,3774.81,1054051,Bearish,Realistic Demo Data,2025-11-03 23:27:05
