Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19713.37,-86.63,-0.438,19865.36,19873.52,19680.91,1493740,Neutral,Realistic Demo Data,2025-11-03 23:28:23
SENSEX,66689.49,189.49,0.285,66474.96,66699.41,66390.14,2442721,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY BANK,45203.68,3.68,0.008,45096.65,45255.57,45067.51,1775892,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY IT,29582.37,82.37,0.279,29402.54,29600.25,29379.87,2111997,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY PHARMA,13703.99,-96.01,-0.696,13748.63,13748.8,13688.57,721042,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY AUTO,16210.61,10.61,0.065,16169.61,16218.96,16145.42,1810857,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY METAL,7075.58,-24.42,-0.344,7102.02,7123.31,7069.01,1592789,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY REALTY,453.66,3.66,0.814,443.5,457.02,440.08,827909,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY FMCG,53064.92,64.92,0.122,52927.18,53116.32,52857.92,1358273,Neutral,Realistic Demo Data,2025-11-03 23:28:23
NIFTY PSU BANK,3828.84,28.84,0.759,3786.39,3835.14,3778.65,946985,Neutral,Realistic Demo Data,2025-11-03 23:28:23
