Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19670.87,-129.13,-0.652,19780.97,19796.54,19667.53,2902048,Neutral,Realistic Demo Data,2025-11-03 23:25:17
SENSEX,66560.01,60.01,0.09,66569.57,66631.55,66552.14,1199755,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY BANK,45120.9,-79.1,-0.175,45284.74,45336.15,45054.41,2695239,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY IT,29547.75,47.75,0.162,29513.08,29595.64,29470.86,1854765,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY PHARMA,13747.02,-52.98,-0.384,13872.59,13897.48,13728.74,711309,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY AUTO,16276.55,76.55,0.473,16161.67,16277.94,16150.4,1695223,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY METAL,7088.43,-11.57,-0.163,7064.45,7091.72,7046.55,1033111,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY REALTY,442.74,-7.26,-1.614,445.11,445.95,440.19,1764083,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY FMCG,52881.8,-118.2,-0.223,52941.04,52986.24,52819.82,2639816,Neutral,Realistic Demo Data,2025-11-03 23:25:17
NIFTY PSU BANK,3810.75,10.75,0.283,3777.91,3813.72,3770.57,1190041,Neutral,Realistic Demo Data,2025-11-03 23:25:17
