2025-11-14 20:20:51.236 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Complete Integrated Trading Bot (Phase 1-5) created
2025-11-14 20:20:51.274 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - === Initializing Complete Integrated Trading Bot (Phase 1-5) ===
2025-11-14 20:20:51.278 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 1: Enhanced Technical + Machine Learning...
2025-11-14 20:20:51.382 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 2: Multi-timeframe + Advanced Indicators...
2025-11-14 20:20:51.487 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 3: Smart Money + Institutional Analysis...
2025-11-14 20:20:51.591 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 4: Portfolio Optimization + Risk Management...
2025-11-14 20:20:51.698 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 5: AI Neural Networks + Real-Time + Auto Execution...
2025-11-14 20:20:51.801 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - ✅ All phases (1-5) initialized successfully!
2025-11-14 20:20:51.804 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - 🎯 Complete Integrated Trading Bot is ready for operation
2025-11-14 20:20:51.812 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - === Generating Complete Integrated Call for NIFTY ===
2025-11-14 20:20:51.842 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - ✅ Generated integrated call: NIFTY HOLD 68.9% (P1:61% P2:65% P3:54% P4:56% P5:66%)
